# Simulation 2 (Up to date)
# 5397 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (68.4 m/s)
#   Discontinuity in rocket body diameter.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
4.519,6883,771.68,-301.55,772.33,301.93,243.66,13.672,244.05,3.2115,31.735,15.004,28.61,-80.599,9.7852,0.035631,840.06,0.71356,0.64634,9644.9,4464,2.6093,0.019221,126.68,107.8,4.6916,2.3273,85387332,0,2817.7,1.1531,1.1531,0.12862,0.9171,0.10742,0.0025841,0.012363,-1.8435e-4,0,-0.0064101,0,0.0064101,5.0128e-6,0.098793,4.024,82.049,87.177,2.9527,NaN,1.1329,785.55,331.99,4.191e-4,3.4777
4.5194,6884,771.55,-301.45,772.21,301.82,243.71,13.674,244.09,3.2115,31.728,14.998,28.61,-80.599,9.7852,0.035321,838.07,0.74045,0.6478,9644.8,4464,2.6093,0.019221,126.68,107.8,4.6923,2.327,85371090,0,2816.7,1.1531,1.1532,0.12863,0.91708,0.10744,0.0025619,0.01159,-2.5426e-4,0,-0.0063971,0,0.0063971,5.3995e-6,0.098777,4.024,82.049,87.177,2.9445,NaN,1.1308,785.52,331.98,4.2011e-4,3.478
4.5199,6885.1,771.43,-301.35,772.08,301.72,243.75,13.677,244.14,3.2114,31.722,14.991,28.61,-80.599,9.7852,0.035,836.07,0.7671,0.64924,9644.8,4464,2.6093,0.019221,126.69,107.8,4.693,2.3266,85354815,0,2815.7,1.1532,1.1532,0.12865,0.91706,0.10745,0.0025388,0.01201,-7.1159e-5,0,-0.0063841,0,0.0063841,5.7971e-6,0.098761,4.024,82.049,87.177,2.9362,NaN,1.1287,785.49,331.98,4.2111e-4,3.4781
4.5203,6886.1,771.3,-301.25,771.95,301.62,243.8,13.679,244.18,3.2114,31.716,14.985,28.61,-80.599,9.7852,0.034666,834.07,0.79349,0.65073,9644.8,4464,2.6093,0.019221,126.69,107.8,4.6936,2.3262,85338507,0,2814.7,1.1532,1.1532,0.12866,0.91703,0.10747,0.0025149,0.011938,3.1018e-4,0,-0.0063711,0,0.0063711,6.2048e-6,0.098744,4.024,82.049,87.176,2.9277,NaN,1.1265,785.46,331.98,4.2212e-4,3.4783
4.5207,6887.2,771.17,-301.14,771.83,301.52,243.84,13.681,244.22,3.2114,31.709,14.978,28.61,-80.599,9.7852,0.034321,832.07,0.81996,0.65261,9644.8,4464,2.6093,0.019221,126.69,107.8,4.6943,2.3258,85322165,0,2813.7,1.1532,1.1532,0.12868,0.91701,0.10749,0.0024902,0.012084,-8.5528e-5,0,-0.0063581,0,0.0063581,6.6279e-6,0.098728,4.024,82.049,87.176,2.9191,NaN,1.1244,785.43,331.98,4.2314e-4,3.4784
4.5211,6888.3,771.05,-301.04,771.7,301.41,243.88,13.684,244.27,3.2113,31.703,14.971,28.61,-80.599,9.7852,0.033964,830.08,0.84582,0.65431,9644.8,4464,2.6093,0.019221,126.7,107.8,4.695,2.3255,85305790,0,2812.7,1.1532,1.1532,0.12869,0.91699,0.10751,0.0024645,0.01148,2.0783e-4,0,-0.006345,0,0.006345,7.0548e-6,0.098712,4.024,82.049,87.176,2.9103,NaN,1.1222,785.39,331.98,4.2416e-4,3.4785
4.5215,6889.4,770.92,-300.94,771.57,301.31,243.93,13.686,244.31,3.2113,31.697,14.964,28.61,-80.599,9.7852,0.033595,828.08,0.87095,0.6559,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6957,2.3251,85289381,0,2811.7,1.1532,1.1532,0.12871,0.91697,0.10752,0.0024381,0.011326,1.4055e-4,0,-0.006332,0,0.006332,7.4827e-6,0.098695,4.024,82.049,87.176,2.9014,NaN,1.12,785.36,331.98,4.2519e-4,3.4786
4.522,6890.4,770.79,-300.83,771.44,301.21,243.97,13.688,244.36,3.2113,31.69,14.957,28.61,-80.599,9.7852,0.033216,826.08,0.89585,0.65819,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6964,2.3247,85272939,0,2810.7,1.1532,1.1532,0.12872,0.91695,0.10754,0.0024108,0.011444,1.0917e-4,0,-0.006319,0,0.006319,7.9194e-6,0.098679,4.024,82.049,87.176,2.8923,NaN,1.1179,785.33,331.98,4.2622e-4,3.4788
4.5224,6891.5,770.66,-300.73,771.31,301.1,244.02,13.691,244.4,3.2112,31.684,14.949,28.61,-80.599,9.7852,0.032825,824.08,0.92056,0.66031,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6971,2.3243,85256463,0,2809.7,1.1532,1.1532,0.12873,0.91693,0.10756,0.0023827,0.011314,3.2617e-4,0,-0.006306,0,0.006306,8.3651e-6,0.098663,4.024,82.049,87.176,2.8831,NaN,1.1157,785.3,331.98,4.2726e-4,3.4789
4.5228,6892.6,770.53,-300.63,771.19,301,244.06,13.693,244.44,3.2112,31.678,14.942,28.61,-80.599,9.7852,0.032422,822.09,0.94499,0.66264,9644.8,4464,2.6093,0.019221,126.71,107.8,4.6979,2.3239,8.524e7,0,2808.7,1.1532,1.1532,0.12875,0.91691,0.10758,0.0023537,0.010891,3.3528e-4,0,-0.0062929,0,0.0062929,8.8178e-6,0.098646,4.024,82.049,87.176,2.8738,NaN,1.1135,785.27,331.97,4.283e-4,3.479
